name,brand,ratingValue,ratingCount,gender_score,priceValue_score,timeOfDay_score,season_score,Woody & Earthy,Smoky & Leathery,Resinous & Balsamic,Citrus & Fresh,Green & Herbal,Warm & Spicy,Sweet & Gourmand,Floral,Powdery & Soft,Synthetic,Uncommon,notesBreakdown
Black XS L'Exces for Him,Rabanne,4.24,1464.0,1.2987,0.18557,-0.34107,0.24748,3.13905,0.0,1.48655,2.35373,1.77935,0.34636,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lavender', 'Amalfi Lemon'], 'midnotes': ['Cypriol Oil or Nagarmotha', 'Sea Notes'], 'bottomnotes': ['Patchouli', 'Amber']}"
Kuhuyan,Parfums de Marly,3.91,323.0,1.00794,-0.60748,0.00826,0.25893,0.0,4.80662,1.72503,4.66592,0.0,0.0,2.08442,0.0,0.58345,0.0,0.0,"{'topnotes': ['Jasmine', 'Violet Leaf'], 'midnotes': ['Leather', 'Heliotrope'], 'bottomnotes': ['Agarwood (Oud)', 'Tonka Bean', 'Ambergris']}"
Major Me,Rabanne,4.28,192.0,-0.06452,0.25234,-0.30476,0.24014,2.35924,1.46676,1.87292,0.0,0.0,0.50447,0.62521,0.0,0.0,0.0,0.0,"{'topnotes': ['Cherry', 'Pepper'], 'midnotes': ['Incense', 'Agarwood (Oud)', 'Patchouli'], 'bottomnotes': ['Benzoin', 'Moss']}"
Akaster,Parfums de Marly,3.89,410.0,0.57303,-0.70748,-0.29946,0.25,0.1683,0.0,0.0,0.32151,0.46114,0.3217,0.0,2.5167,1.07146,0.0,0.0,"{'topnotes': ['Cypress', 'Lemon'], 'midnotes': ['Bulgarian Rose', 'African Geranium'], 'bottomnotes': ['Musk', 'Agarwood (Oud)', 'Cardamom']}"
Invictus Intense,Rabanne,4.02,1306.0,1.5905,0.12113,-0.18539,0.25377,0.14252,1.19745,0.76426,0.28088,0.0,0.31138,0.0,0.99059,0.0,0.0,3.73285,"{'topnotes': ['Black Pepper', 'Orange Blossom'], 'midnotes': ['Laurels', 'Whiskey'], 'bottomnotes': ['Salt', 'Ambergris', 'Amber']}"
Armure Mara,Rabanne,4.21,29.0,-0.7,-0.30769,-0.3,0.25,2.5755,0.0,0.81358,0.0,0.0,0.34908,0.8272,0.97161,1.48679,0.0,0.0,"{'topnotes': ['Velvet', 'Strawberry'], 'midnotes': ['Jasmine'], 'bottomnotes': ['Bourbon Vanilla', 'Patchouli']}"
Shagya,Parfums de Marly,3.88,412.0,1.28696,-0.40385,0.07639,0.20922,0.96426,0.0,0.0,0.35289,0.31724,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Pink Pepper', 'Bergamot', 'Lime'], 'midnotes': ['Geranium', 'Agarwood (Oud)', 'Virginia Cedar'], 'bottomnotes': ['Musk', 'Guaiac Wood', 'Papyrus', 'Vetiver']}"
Invictus Onyx Collector Edition,Rabanne,4.12,149.0,1.49383,0.08571,0.30588,0.1444,2.30685,1.08147,0.54358,2.96236,0.35609,0.0,0.0,0.99967,0.0,0.0,0.0,"{'topnotes': ['Grapefruit', 'Mandarin Orange', 'Sea Notes'], 'midnotes': ['Jasmine', 'Laurels'], 'bottomnotes': ['Guaiac Wood', 'Moss', 'Ambergris', 'Patchouli']}"
Narciso Rodriguez for Him Musk,Narciso Rodriguez,4.33,849.0,1.13793,0.15068,-0.41837,0.28957,0.79556,0.0,0.0,0.0,0.0,0.0,0.51293,3.72792,1.89272,0.0,0.0,"{'topnotes': ['Musk', 'Red Berries', 'Iris'], 'midnotes': [], 'bottomnotes': []}"
Silver Skin,Rabanne,4.13,15.0,-0.26667,-1.125,0.14286,0.15625,0.84672,0.0,2.3414,0.0,0.0,0.30354,0.0,1.87871,0.43502,0.0,0.0,"{'topnotes': ['Pink Pepper'], 'midnotes': ['Orris', 'Iris'], 'bottomnotes': ['Vanilla', 'Benzoin', 'Resin']}"
Strong Me,Rabanne,3.84,198.0,0.26786,0.17241,-0.40659,0.31757,0.16426,0.0,2.57992,0.0,0.0,0.0,0.7124,0.0,0.38289,8.86624,0.0,"{'topnotes': ['Liquor', 'Plum'], 'midnotes': ['Davana', 'Metallic notes'], 'bottomnotes': ['Vanilla', 'Amberwood']}"
Midnight Sex,Rabanne,3.77,22.0,-1.1875,-1.0,-0.33333,0.2,0.22409,0.98764,0.0,0.0,0.0,0.31722,0.63723,4.94923,2.43528,0.0,0.0,"{'topnotes': ['Coconut'], 'midnotes': ['Tuberose', 'Orange Blossom'], 'bottomnotes': ['Sandalwood']}"
Night Soul,Rabanne,4.33,18.0,0.25,-0.375,-0.28571,0.31579,0.26363,0.0,0.88115,0.0,0.2475,0.28499,0.84797,0.0,0.33504,0.0,0.0,"{'topnotes': ['Whipped Cream', 'Fig'], 'midnotes': ['Palo Santo', 'Cedar'], 'bottomnotes': ['Tonka Bean', 'Sandalwood']}"
Oud Montaigne,Rabanne,4.53,17.0,1.0,-0.16667,-0.71429,0.3125,0.14422,2.03037,0.0,0.0,0.26804,0.45932,0.62521,0.0,0.0,5.47026,0.0,"{'topnotes': ['Cardamom', 'Liquor', 'Plum'], 'midnotes': ['Cedar'], 'bottomnotes': ['Leather', 'Agarwood (Oud)']}"
Narciso Rodriguez For Her Pink Edition,Narciso Rodriguez,3.87,52.0,-1.53846,0.07143,0.0,0.28302,2.64102,0.0,1.25685,0.48011,0.31609,0.0,0.0,0.99086,1.78915,0.0,0.0,"{'topnotes': ['Orange Blossom', 'Bergamot', 'Osmanthus'], 'midnotes': ['Musk', 'Amber'], 'bottomnotes': ['Vetiver', 'Vanilla', 'Patchouli']}"
Lippizan,Parfums de Marly,3.86,231.0,1.32,-0.35897,0.38095,0.17544,2.49605,0.84236,0.0,0.28643,1.12998,1.08719,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Clary Sage', 'Thyme', 'Amalfi Lemon', 'Bergamot', 'Tarragon', 'Cardamom'], 'midnotes': ['Jasmine', 'Rose', 'Galbanum', 'Iris', 'Patchouli', 'Virginia Cedar', 'Vetiver'], 'bottomnotes': ['Vanille', 'oak moss', 'Leather', 'Musk', 'Amber']}"
Oud Musc,Narciso Rodriguez,3.97,120.0,-0.14667,-0.31579,-0.27907,0.21359,0.0,0.0,0.0,0.0,0.22822,0.27438,0.0,1.02288,1.3517,0.0,0.0,"{'topnotes': ['Flowers', 'Myrtle', 'Musk', 'Agarwood (Oud)', 'Black Pepper'], 'midnotes': [], 'bottomnotes': []}"
Ultraviolet Man Aurore Borealis Edition,Rabanne,4.08,65.0,1.25,0.68421,-0.09091,0.27273,2.8204,1.21265,0.76426,0.45456,0.22532,0.0,0.44317,0.0,1.17438,0.0,0.0,"{'topnotes': [], 'midnotes': [], 'bottomnotes': []}"
Ispazon,Parfums de Marly,3.77,226.0,1.45652,-0.54762,0.44156,0.18468,0.17412,0.0,0.95236,0.63591,0.46217,0.0,0.45532,0.0,0.99024,0.0,0.0,"{'topnotes': ['Thyme', 'Bay Leaf', 'Amalfi Lemon', 'Orange', 'Lime'], 'midnotes': ['Virginia Cedar', 'Lily-of-the-Valley'], 'bottomnotes': ['Musk', 'Amber', 'Vanille']}"
Black XS Be a Legend Iggy Pop,Rabanne,4.01,129.0,1.28571,0.16667,-0.36364,0.27244,1.11986,2.87162,0.49003,0.63591,0.0,1.63247,4.09866,1.2485,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Cinnamon'], 'midnotes': ['Honey', 'Orange Blossom'], 'bottomnotes': ['Labdanum', 'Leather', 'Cypriol Oil or Nagarmotha']}"
