Fragrance Name,Link
Hibiscus Mahajád,https://www.fragrantica.com/perfume/Maison-Crivelli/Hibiscus-Mahajad-69069.html
Versace Man Eau Fraiche,https://www.fragrantica.com/perfume/Versace/Versace-Man-Eau-Fraiche-644.html
Silver Mountain Water,https://www.fragrantica.com/perfume/Creed/Silver-Mountain-Water-472.html
Reflection Man,https://www.fragrantica.com/perfume/Amouage/Reflection-Man-920.html
Green Irish Tweed,https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html
Musc Ravageur,https://www.fragrantica.com/perfume/Frederic-Malle/Musc-Ravageur-1801.html
Lazy Sunday Morning,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Lazy-Sunday-Morning-20542.html
Ameer Al Oudh Intense Oud,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Ameer-Al-Oudh-Intense-Oud-64947.html
Emporio Armani Stronger With You,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-45258.html
Fucking Fabulous,https://www.fragrantica.com/perfume/Tom-Ford/Fucking-Fabulous-46513.html
Amber Oud Gold Edition,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Amber-Oud-Gold-Edition-51816.html
Boss Bottled Elixir,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-Elixir-84074.html
Philosykos Eau de Parfum,https://www.fragrantica.com/perfume/Diptyque/Philosykos-Eau-de-Parfum-3865.html
Kirke,https://www.fragrantica.com/perfume/Tiziana-Terenzi/Kirke-32172.html
French Riviera,https://www.fragrantica.com/perfume/Mancera/French-Riviera-74636.html
Gris Charnel Extrait,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-Extrait-73645.html
Carlisle,https://www.fragrantica.com/perfume/Parfums-de-Marly/Carlisle-33514.html
Wulóng Chá,https://www.fragrantica.com/perfume/Nishane/Wulong-Cha-30567.html
Musk Therapy,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Musk-Therapy-66097.html
Acqua di Parma Blu Mediterraneo - Fico di Amalfi,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html
Luna Rossa Black,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Black-48682.html
Tilia,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/Tilia-91688.html
Terroni,https://www.fragrantica.com/perfume/Orto-Parisi/Terroni-45475.html
Allure Homme Sport,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-607.html
Y Le Parfum,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Le-Parfum-64718.html
Mercedes Benz Club Black,https://www.fragrantica.com/perfume/Mercedes-Benz/Mercedes-Benz-Club-Black-46797.html
Tuxedo,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Tuxedo-32269.html
Bad Boy Cobalt Parfum Electrique,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-Cobalt-Parfum-Electrique-71888.html
Dior Homme 2020,https://www.fragrantica.com/perfume/Dior/Dior-Homme-2020-58714.html
Teriaq,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Teriaq-89850.html
You Or Someone Like You,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/You-Or-Someone-Like-You-43531.html
Intense Cafe,https://www.fragrantica.com/perfume/Montale/Intense-Cafe-18021.html
Bake,https://www.fragrantica.com/perfume/Akro/Bake-81614.html
40 Knots,https://www.fragrantica.com/perfume/Xerjoff/40-Knots-16445.html
Détour Noir,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Detour-Noir-70748.html
Coffee Break,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Coffee-Break-55926.html
Chocolate Greedy,https://www.fragrantica.com/perfume/Montale/Chocolate-Greedy-2186.html
1 Million Lucky,https://www.fragrantica.com/perfume/Rabanne/1-Million-Lucky-48903.html
1 Million Elixir,https://www.fragrantica.com/perfume/Rabanne/1-Million-Elixir-71708.html
Absolute Aphrodisiac,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Absolute-Aphrodisiac-30989.html
Italica (2021),https://www.fragrantica.com/perfume/Xerjoff/Italica-2021-65383.html
Apple Brandy on the Rocks,https://www.fragrantica.com/perfume/By-Kilian/Apple-Brandy-on-the-Rocks-68326.html
Narcotic Delight,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Narcotic-Delight-89368.html
Spicebomb,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-13857.html
