Fragrance Name,Brand Name,Link
Tahani,Amouage,https://www.fragrantica.com/perfume/Amouage/Tahani-20493.html
Bahjah,Amouage,https://www.fragrantica.com/perfume/Amouage/Bahjah-13486.html
Oudh Al Khaloud,Amouage,https://www.fragrantica.com/perfume/Amouage/Oudh-Al-Khaloud-13478.html
Al Mas,Amouage,https://www.fragrantica.com/perfume/Amouage/Al-Mas-20488.html
Rose,Amouage,https://www.fragrantica.com/perfume/Amouage/Rose-20491.html
Amber,Amouage,https://www.fragrantica.com/perfume/Amouage/Amber-20489.html
Arcus,Amouage,https://www.fragrantica.com/perfume/Amouage/Arcus-5760.html
Basmah,Amouage,https://www.fragrantica.com/perfume/Amouage/Basmah-13488.html
Mawaddah,Amouage,https://www.fragrantica.com/perfume/Amouage/Mawaddah-26409.html
Attar Bashair,Amouage,https://www.fragrantica.com/perfume/Amouage/Attar-Bashair-69088.html
Attar Al Jawhar,Amouage,https://www.fragrantica.com/perfume/Amouage/Attar-Al-Jawhar-69087.html
Asana,Amouage,https://www.fragrantica.com/perfume/Amouage/Asana-32883.html
Emporio Armani Stronger With You Intensely,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html
Acqua di Giò Profondo,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html
Acqua di Gio,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html
Acqua di Giò Profumo,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html
Emporio Armani Stronger With You Absolutely,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html
Acqua di Giò Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html
Armani Code Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html
Emporio Armani Stronger With You,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-45258.html
